person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_cred_hist_length,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file_Y
22,59000,50.0,35000,16.02,1,0.59,3,False,False,True,False,False,True,False,False,False,True
24,83000,8.0,35000,8.9,1,0.42,2,False,False,True,False,False,False,False,False,False,False
25,137000,9.0,34800,16.77,0,0.25,2,False,False,True,False,False,False,True,False,False,True
24,10980,0.0,1500,7.29,0,0.14,3,False,True,False,False,False,False,False,False,False,False
22,80000,3.0,33950,14.54,1,0.42,4,False,False,True,False,False,True,False,False,False,True
23,11000,0.0,1400,9.32,0,0.13,3,False,True,False,False,False,False,False,False,False,False
26,80690,8.0,30000,7.49,1,0.37,3,False,False,True,False,False,False,False,False,False,False
23,92004,6.0,30000,15.23,1,0.33,3,False,False,True,False,True,False,False,False,False,True
26,280000,4.0,10000,15.96,0,0.04,3,False,False,True,False,True,False,False,False,False,True
25,128000,9.0,30000,7.29,0,0.23,4,False,False,True,False,False,False,False,False,False,False
21,12000,0.0,4200,13.48,1,0.35,4,False,True,False,False,True,False,False,False,False,True
24,83000,5.0,27000,13.49,1,0.33,2,False,False,True,False,True,False,False,False,False,True
25,12600,3.0,1750,13.61,0,0.14,3,False,True,False,False,True,False,False,False,False,False
22,49464,5.0,25000,11.83,1,0.51,3,False,False,True,True,False,False,False,False,False,False
23,52000,1.0,25000,13.22,1,0.48,2,False,False,True,False,True,False,False,False,False,False
26,210000,10.0,22000,11.83,0,0.1,4,False,True,False,True,False,False,False,False,False,False
24,55164,8.0,25000,13.22,1,0.45,4,False,False,True,False,True,False,False,False,False,True
23,13920,2.0,7750,17.04,1,0.56,4,False,True,False,False,False,False,True,False,False,False
24,60000,0.0,25000,10.99,1,0.42,3,False,False,True,True,False,False,False,False,False,False
24,60000,2.0,25000,11.11,1,0.42,3,False,False,True,True,False,False,False,False,False,False
23,60000,3.0,25000,12.73,1,0.42,3,False,False,True,False,True,False,False,False,False,False
23,60000,7.0,25000,10.25,1,0.42,4,False,False,True,True,False,False,False,False,False,False
25,200000,9.0,23050,14.35,0,0.12,3,False,False,False,False,True,False,False,False,False,False
26,66996,10.0,25000,15.21,1,0.37,2,False,False,True,False,False,True,False,False,False,True
24,68000,5.0,25000,14.09,1,0.37,3,False,False,True,False,False,True,False,False,False,True
25,69000,9.0,25000,17.49,1,0.36,2,False,False,True,False,False,True,False,False,False,False
26,200000,4.0,3000,13.92,0,0.01,3,False,False,False,False,True,False,False,False,False,False
24,14400,5.0,6000,7.49,1,0.42,3,False,True,False,False,False,False,False,False,False,False
23,189996,0.0,24000,11.83,0,0.13,3,False,True,False,True,False,False,False,False,False,False
24,79631,8.0,25000,15.7,1,0.31,2,False,False,True,False,False,True,False,False,False,True
26,185000,10.0,5000,7.68,0,0.03,2,False,True,False,False,False,False,False,False,False,False
25,182952,9.0,15000,6.03,0,0.08,3,False,False,False,False,False,False,False,False,False,False
24,83000,5.0,25000,12.92,0,0.3,3,False,False,True,False,False,True,False,False,False,True
23,180000,8.0,28000,7.51,0,0.16,3,False,False,False,False,False,False,False,False,False,False
22,14400,0.0,2100,11.14,0,0.15,4,False,True,False,True,False,False,False,False,False,False
22,84500,6.0,25000,18.3,0,0.3,4,False,False,True,False,False,False,False,True,False,False
26,180000,2.0,25000,10.99,0,0.14,4,False,True,False,True,False,False,False,False,False,False
24,91800,4.0,25000,13.43,0,0.27,3,False,False,True,False,True,False,False,False,False,True
23,175000,8.0,21000,11.99,0,0.12,3,False,False,False,True,False,False,False,False,False,False
23,15000,0.0,3600,13.47,1,0.24,4,False,False,False,False,True,False,False,False,False,False
24,102400,8.0,25000,10.36,0,0.24,3,False,False,True,True,False,False,False,False,False,False
23,15204,7.0,2800,8.49,1,0.18,3,False,False,False,False,False,False,False,False,False,False
25,159600,0.0,30000,17.27,1,0.19,4,False,False,True,False,False,True,False,False,False,True
26,108000,2.0,25000,15.05,1,0.23,3,False,False,True,False,False,True,False,False,False,False
