person_income,loan_amnt,loan_int_rate,loan_status,loan_percent_income,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file_Y
59000,35000,16.02,1,0.59,False,False,True,False,False,True,False,False,False,True
83000,35000,8.9,1,0.42,False,False,True,False,False,False,False,False,False,False
137000,34800,16.77,0,0.25,False,False,True,False,False,False,True,False,False,True
10980,1500,7.29,0,0.14,False,True,False,False,False,False,False,False,False,False
80000,33950,14.54,1,0.42,False,False,True,False,False,True,False,False,False,True
11000,1400,9.32,0,0.13,False,True,False,False,False,False,False,False,False,False
80690,30000,7.49,1,0.37,False,False,True,False,False,False,False,False,False,False
92004,30000,15.23,1,0.33,False,False,True,False,True,False,False,False,False,True
280000,10000,15.96,0,0.04,False,False,True,False,True,False,False,False,False,True
128000,30000,7.29,0,0.23,False,False,True,False,False,False,False,False,False,False
12000,4200,13.48,1,0.35,False,True,False,False,True,False,False,False,False,True
83000,27000,13.49,1,0.33,False,False,True,False,True,False,False,False,False,True
12600,1750,13.61,0,0.14,False,True,False,False,True,False,False,False,False,False
49464,25000,11.83,1,0.51,False,False,True,True,False,False,False,False,False,False
52000,25000,13.22,1,0.48,False,False,True,False,True,False,False,False,False,False
210000,22000,11.83,0,0.1,False,True,False,True,False,False,False,False,False,False
55164,25000,13.22,1,0.45,False,False,True,False,True,False,False,False,False,True
13920,7750,17.04,1,0.56,False,True,False,False,False,False,True,False,False,False
60000,25000,10.99,1,0.42,False,False,True,True,False,False,False,False,False,False
60000,25000,11.11,1,0.42,False,False,True,True,False,False,False,False,False,False
60000,25000,12.73,1,0.42,False,False,True,False,True,False,False,False,False,False
60000,25000,10.25,1,0.42,False,False,True,True,False,False,False,False,False,False
200000,23050,14.35,0,0.12,False,False,False,False,True,False,False,False,False,False
66996,25000,15.21,1,0.37,False,False,True,False,False,True,False,False,False,True
68000,25000,14.09,1,0.37,False,False,True,False,False,True,False,False,False,True
69000,25000,17.49,1,0.36,False,False,True,False,False,True,False,False,False,False
200000,3000,13.92,0,0.01,False,False,False,False,True,False,False,False,False,False
14400,6000,7.49,1,0.42,False,True,False,False,False,False,False,False,False,False
189996,24000,11.83,0,0.13,False,True,False,True,False,False,False,False,False,False
79631,25000,15.7,1,0.31,False,False,True,False,False,True,False,False,False,True
185000,5000,7.68,0,0.03,False,True,False,False,False,False,False,False,False,False
182952,15000,6.03,0,0.08,False,False,False,False,False,False,False,False,False,False
83000,25000,12.92,0,0.3,False,False,True,False,False,True,False,False,False,True
180000,28000,7.51,0,0.16,False,False,False,False,False,False,False,False,False,False
14400,2100,11.14,0,0.15,False,True,False,True,False,False,False,False,False,False
84500,25000,18.3,0,0.3,False,False,True,False,False,False,False,True,False,False
180000,25000,10.99,0,0.14,False,True,False,True,False,False,False,False,False,False
91800,25000,13.43,0,0.27,False,False,True,False,True,False,False,False,False,True
175000,21000,11.99,0,0.12,False,False,False,True,False,False,False,False,False,False
15000,3600,13.47,1,0.24,False,False,False,False,True,False,False,False,False,False
102400,25000,10.36,0,0.24,False,False,True,True,False,False,False,False,False,False
15204,2800,8.49,1,0.18,False,False,False,False,False,False,False,False,False,False
159600,30000,17.27,1,0.19,False,False,True,False,False,True,False,False,False,True
108000,25000,15.05,1,0.23,False,False,True,False,False,True,False,False,False,False
129996,25000,10.75,0,0.19,False,False,True,True,False,False,False,False,False,False
169000,14000,11.14,0,0.08,False,False,True,True,False,False,False,False,False,False
168000,35000,10.65,0,0.21,False,False,False,True,False,False,False,False,False,False
134000,25000,16.07,0,0.19,False,False,True,False,False,True,False,False,False,True
165000,20000,10.37,0,0.12,False,False,False,True,False,False,False,False,False,False
16000,2000,6.39,0,0.13,False,True,False,False,False,False,False,False,False,False
175000,25000,8.9,0,0.14,False,False,True,False,False,False,False,False,False,False
16200,2000,12.42,0,0.12,False,True,False,True,False,False,False,False,False,False
162000,25000,11.03,0,0.15,False,False,True,False,True,False,False,False,False,False
16400,5000,8.94,1,0.3,False,True,False,False,False,False,False,False,False,False
49500,24750,14.22,1,0.5,False,False,True,False,True,False,False,False,False,False
160000,35000,7.66,0,0.22,False,False,False,False,False,False,False,False,False,False
160000,12000,9.63,0,0.07,False,False,False,True,False,False,False,False,False,False
160000,25000,12.23,0,0.16,False,False,True,False,True,False,False,False,False,True
54000,24250,13.98,1,0.45,False,False,True,False,True,False,False,False,False,False
68400,24250,17.56,1,0.35,False,False,True,False,False,False,True,False,False,False
100000,24250,12.87,0,0.24,False,False,True,False,True,False,False,False,False,True
103000,24250,15.7,0,0.24,False,False,True,False,False,True,False,False,False,False
47000,24000,17.8,1,0.51,False,False,True,False,False,False,False,True,False,False
60000,24000,7.9,1,0.4,False,False,True,False,False,False,False,False,False,False
60000,24000,10.99,1,0.4,False,False,True,True,False,False,False,False,False,False
60000,24000,7.29,1,0.4,False,False,True,False,False,False,False,False,False,False
62250,24000,16.45,1,0.39,False,False,True,False,False,False,True,False,False,True
18000,3000,7.9,1,0.17,False,True,False,False,False,False,False,False,False,False
78000,24000,13.92,1,0.31,False,False,True,False,True,False,False,False,False,False
74700,24000,12.92,1,0.32,False,False,True,False,False,True,False,False,False,False
88596,24000,11.58,0,0.27,False,False,True,True,False,False,False,False,False,False
100000,24000,12.73,0,0.24,False,False,True,False,True,False,False,False,False,False
124080,24000,16.49,0,0.19,False,False,True,False,False,True,False,False,False,True
135000,24000,10.99,0,0.18,False,False,True,True,False,False,False,False,False,False
18000,13000,7.88,1,0.72,False,True,False,False,False,False,False,False,False,False
18000,2500,11.36,0,0.14,False,True,False,True,False,False,False,False,False,False
54996,23600,11.89,1,0.43,False,False,True,True,False,False,False,False,False,False
75000,23575,14.5,1,0.31,False,False,True,False,False,False,True,False,False,False
18500,5000,9.32,1,0.27,False,False,False,False,False,False,False,False,False,False
52000,22000,10.74,1,0.42,False,False,True,True,False,False,False,False,False,False
18701,4200,14.11,1,0.22,False,False,False,False,False,True,False,False,False,True
77650,22000,11.48,1,0.28,False,False,True,True,False,False,False,False,False,False
19200,4950,11.71,1,0.26,False,False,False,True,False,False,False,False,False,False
57000,21700,11.99,1,0.38,False,False,True,True,False,False,False,False,False,False
82000,21600,13.61,0,0.26,False,False,True,False,True,False,False,False,False,True
59000,21000,10.71,1,0.36,False,False,True,True,False,False,False,False,False,False
70500,21000,13.98,0,0.3,False,False,True,False,True,False,False,False,False,True
100000,21000,16.49,1,0.21,False,False,True,False,False,True,False,False,False,True
19200,7500,11.97,1,0.39,True,False,False,False,True,False,False,False,False,True
82000,20900,12.69,0,0.25,False,False,True,True,False,False,False,False,False,False
54000,20375,7.49,1,0.38,False,False,True,False,False,False,False,False,False,False
20000,5000,11.71,0,0.25,False,True,False,True,False,False,False,False,False,False
20000,9250,10.65,0,0.46,False,True,False,True,False,False,False,False,False,False
38556,20000,11.22,1,0.52,False,False,True,False,True,False,False,False,False,True
40000,20000,12.53,1,0.5,False,False,True,True,False,False,False,False,False,False
20000,5650,15.99,0,0.28,False,True,False,False,False,True,False,False,False,True
45000,20000,10.25,1,0.44,False,False,True,True,False,False,False,False,False,False
42000,20000,12.99,1,0.48,False,False,True,False,False,True,False,False,False,False
20000,1500,7.74,0,0.07,False,False,False,False,False,False,False,False,False,False
20000,16600,9.76,0,0.83,False,False,False,True,False,False,False,False,False,False
20004,7125,6.99,0,0.36,False,False,False,False,False,False,False,False,False,False
51012,20000,17.49,1,0.39,False,False,True,False,False,True,False,False,False,True
53000,20000,16.35,1,0.38,False,False,True,False,False,False,True,False,False,True
60000,20000,10.99,1,0.33,False,False,True,True,False,False,False,False,False,False
54000,20000,8.88,1,0.37,False,False,True,True,False,False,False,False,False,False
54000,20000,11.12,1,0.37,False,False,True,True,False,False,False,False,False,False
54000,20000,15.65,1,0.37,False,False,True,False,False,True,False,False,False,True
54000,20000,17.04,1,0.37,False,False,True,False,False,False,True,False,False,True
60000,20000,11.14,1,0.33,False,False,True,True,False,False,False,False,False,False
60000,20000,13.87,1,0.33,False,False,True,False,False,True,False,False,False,False
54504,20000,16.7,1,0.37,False,False,True,False,False,False,True,False,False,True
